"code","energy_kcal_100g","sugars_100g","fat_100g","salt_100g","proteins_100g","nutriscore_grade","nutriscore_score","nova_group"
"8801043025256","435","69.4736842105263","13.6842105263158","3.68421052631579","8.42105263157895","e","38","4"
"8410199002402","442","5.3","13","0.84","5.9","c","8","4"
"5201010144523","363.529411764706","3.05882352941176","2","0.0147058823529412","12","a","-1",
"9300633556150","63","4.8","3.4","0.11","3.32","c","3",
"7804673910535","339","31","12","0.04826","7.7","d","12","1"
"5013665111610","386","0.3","1.2","0.2","6.9","a","-1","3"
"0016000439894","428.571428571428","20","12.8571428571429","0.5","8.57142857142857","c","10","4"
"3560070157198","402",,"30","1.6","32","d","14","3"
"8901595862825","113","20","0.2","2760","0.4","e","26","4"
"0626027811025","48","2.8","2","0.12","1.2","a",,"4"
"8853002303943","27.7777777777778","3.88888888888889",,"0.0833333333333333","1.66666666666667","b","1","4"
"3103220034804","348","53","0.5","0.02","4.7","e","19","4"
"0190646640019","58.3333333333333","2.91666666666667","2.91666666666667","0.104166666666667","1.25","c","6","4"
"8852756304299","382","16.9","2.3","0.4","8","c","6",
"5036829756281","188","2","10","0.82","5.7","a","-5","3"
"3175681854482","73","3.2",,"0.03","0.5","a","-6","4"
"8908010900056","639","3","49","0.0475","30","a","-9","2"
"6002138002202","213.333333333333","0.666666666666667","21.3333333333333",,"3","unknown",,
"0853986008115","500","3.57142857142857","25","1.07142857142857","7.14285714285714","d","14","3"
"5600961114195","41",,"0.6","0.4225","1.4","unknown",,"4"
"5000159562232","437","61.11111","15","3.81944","4.2","e","45","4"
"7704269114982","320","65",,,,"unknown",,"2"
"3242274034054","62.7390057361376","4.6875","9.6875","0.6875","6.875","c","6","4"
"8901725000622","485","22.2","20.7",,"6.9","unknown",,
"7613035287167","203","1","15","1.807","15","d","14","4"
"4897878100279","444","3.3","18","5.3","10","unknown",,
"4770635198309","225","9.5","1.10000002384186",,"5.40000009536743","unknown",,
"0079783406125","487.179487179487","10.2589743589744","23.08","2.0975","10.26","e","22","4"
"7610036002744","570","46","39","0.27","8.4","e","31","4"
"7501020565799","20",,"1.6","0.05","0.2","b","1","4"
"7501040090165","128","18","3.8","0.063","3.5","c","7","4"
"4014400929010","546","34.2","32.8","0.55","9.2","e","28","4"
"8801117778309","570","3.3","36.67","0.316","6.67","unknown",,
"8480000063052","347","3.1","1.5","0.03","13","a","-3","1"
"5060092690331","695","1.5","75.8","0.54","1.4","d","15","3"
"5060088707661","1051.42857142857","49","11","0.02","6.6","not-applicable",,"4"
"6111242102361","81","11","2","1","3","c","7","4"
"5901520000059",,,,"0.2195",,"a","1","1"
"4056489972105","179",,"5.5",,"7.5","unknown",,"4"
"89000724",,,,"0.0001",,"b",,"1"
"6901668200235","480.8795410332","2.1","21.5","1.18","8.5","unknown",,
"8801169072929","118.181818181818","1.81818181818182","1.36363636363636",,"21.8181818181818","unknown",,
"9008700108829","56","13","0.5","0.01","0.5","e","15","3"
"7790503198696","387",,"2.2","0.202","8.4","b","2","3"
"9000331607917","485","46","22","0.15","5.6","e","29","4"
"8711327660601","345.833333333333","26","22","0.1275","2.7","e","21","4"
"5060088709276","468","24.2","21.2","0.6","18.4","not-applicable",,"4"
"20211943","630","0.6","55.4",,"25.3","d","11",
"5052909732600","333.333333333333","82.4",,"0.03","0.3","unknown",,"2"
"7622210476104","440","23","12","1.4","8","e","24","4"
"5000159537834","535.714285714286","17.1428571428571","33.3333333333333","0.470238095238095","23.8095238095238","not-applicable",,"4"
"5202178300004","45","9.9","0.1","0.1","0.6","c","5","1"
"8402001021053","80.8333333333333","6.6","1.1","0.1","8.4","a","-1","4"
"3165440002919","361","3.4","1.8",,"13","a","-2","1"
"3178530405736","429","28","24","0.88","5.9","e","27","4"
"8801047225102","400",,"32","1.8","10","unknown",,
"2800000707019","80",,"1.16666666666667","1","16.6666666666667","unknown",,"3"
"4056489811275","281","0.6","24","1.9","15","e","21","4"
"7500810024553","473.333333333333","0.666666666666667","25.6666666666667","0.813333333333333","7.66666666666667","c","9","4"
"4056489526872","471","21.4","20.4","0.62","9","d","15","4"
"20036911","56","0.28","1.2","0.00045","3","b","-7","4"
"20936600","576","41.4","39.4","0.01","6","e","25","4"
"9352042002582","613.810185989918","5.45454545454545","50.9090909090909","0.363636363636364","27.7272727272727","a","-8","3"
"5010029000856","226.666666666667","4.26666666666667","2.13333333333333","0.266666666666667","12","a","-3","3"
"5701205005542","235",,"1.99",,"9.75","unknown",,"4"
"8000500157985","552","52.1","34.2","0.323","8.1","e","32","4"
"5018374105356","44","2.5","1.9","0.14","3.4","b","-2","4"
"4014500036830","181","13.6","12.2","0.1","2.6","d","13","4"
"3800233091205","418","3","16","1.2","6.1","d","11","4"
"0049733091015","33","0.6","1","2.39","0.7","d","11","3"
"8906009070834","476.8","24.6","21.1","0.4875","5.5","e","23","4"
"5059319025841","392","15","1.3","0.84","8","c","9","3"
"8992696417922","58.8235294117647","5.88235294117647","2.35294117647059","0.169117647058824","2.35294117647059","unknown",,
"8402001032516","416","0.6","16","0.94","7","c","3","4"
"6223002384525","68.8235294117647",,"6.8",,"10","unknown",,
"0061232203072","445","0.7","17.5","1.46","11","d","13","3"
"3178530409673","534","28","30","1.1","5","e","29","4"
"5201673005216","245.121951219512","3.65853658536585","1.70731707317073","0.853658536585366","8.90243902439024","c","5","3"
"4056489303930","505","37","26.1","0.4","6.2","e","27","4"
"6009188006518","200","46.2000007629395","26",,"6.09999990463257","unknown",,
"20892371","213",,"14.9","0.08","19.8","a","-4",
"8801104240284","94.4444444444444","11.1111111111111","2.94444444444444","0.0611111111111111","3.33333333333333","unknown",,
"4056489615927","613","6.4","49.7","1.02","25","c","5",
"5772739267973","340","83",,,,"e","19","2"
"5202336076260","252","3","25","1","4.5","d","16",
"7891000111161","380",,"4.66666666666667",,"6.33333333333333","unknown",,
"7036110008202","540","0.5","60","0.8","0.5","c","8","4"
"6009900278735",,"0.5","21.8999996185303",,"1.89999997615814","unknown",,
"3229820798110","420","12","13","0.01","10","c","6","4"
"9319133338470","428.161704452335","16.5714285714286","21.7142857142857","0.0285714285714286","14.5714285714286","c","8","4"
"7038010001642","42","4.7","1","0.1","3.6","b","-1",
"01318180","270","4.2","7.5","0.84","12.8","a",,"4"
"7622210696861","549","37","33","0.19","5.9","e","26","4"
"6009204041158","143.8814525","1.5","5.975","1.08","7.3","c","4","4"
"4014500512976","90","11.3","2.7","0.13","3.5","c","4",
"6009711325680","78","8.5","0.5",,"0.800000011920929","unknown",,
"8005110630408","4.75","4.5","0.5","0.5","1.6","a","-2","3"
"6001324011172","62.141491386","16","0.1","0.1","0.2","e","20","4"
"5059697710001","597","33.6","44.6","0.23","9.9","e","24","3"
"9300601186945","62","4.4","3.4","0.09","3.4","c","3","1"
"0077901006516","250",,"17.85714286","2.32142857142857","17.85714286","unknown",,"3"
"6907992104300","102.4881",,"4.2","0.25","3.1","b","1",
"0089686060232","441.558441558442","3.8961038961039","19.4805194805195","1805.19480519481","7.79220779220779","unknown",,
"7707172301340","633.333333333333","3.33333333333333","53.3333333333333","0.5","23.3333333333333","a","-9",
"7802900001926","75","7","1.6",,"6.6","b","1","4"
"9349571000462","427.82001","22.1","11.9","1.925","9.9","d","16","3"
"4779028400722","334","7","3",,"13.3","unknown",,
"4008948191015","15","0.5",,"0.02","0.4","b","1","4"
"7790742373908","150","4.66666666666667","9.66666666666667","0.291666666666667","8.66666666666667","c","5","4"
"5760466401043","49.5","1.7","4","0.8075","14","b","2","3"
"0733603091785","533","2","31","1.75","6","unknown",,
"4335619062665","429","66","14","0.01","6.4","e","21","4"
"4770245044287","137","4","12",,"3","unknown",,
"0062020000248","528.99936265137","56","30.6666666666667","0.1","6","e","31","4"
"9355414001114","422.774591034629","3.11111111111111","7.11111111111111","1.25555555555556","7.55555555555556","d","14","4"
"0096619656493","500",,"6","0.25","2","b","2","3"
"3560071260156","370","39","11","0.36","5.3","e","22","4"
"3250391334667","137","2.8","9.3","0.1175","10","c","3","4"
"8888450911006","150","1.4","7.2","2","16.1","d","13",
"7035620051999","179.015296367113","39",,"0.295","1.9","unknown",,
"0051500902882","562.5","3.125","50","0.390625","28.125","a","-9","3"
"3288110715961","462","58.1",,"0.539999999999999","10.9","not-applicable",,
"9300645111453","480.501115360101","0.833333333333333","46.875","1.80729166666667","4.375","e","20","4"
"20713713","639","14","55.3","0.01","9","d","17","2"
"7038010017865","110",,"38","1.3","19","d","14","3"
"7896294900804","176.666666666667","3.33333333333333","13.3333333333333","1.4","11","d","17","4"
"0047495491555","350.877192982456","33.333333333333","8.7719298245614","0.35087719298245","5.2631578947368","d","11","4"
"6921299762025","306.41",,,,,"unknown",,
"4056489983507","292.5","1.5","7","1.08","18","a",,"4"
"5038862137775","46.6666666666667","9.33333333333333","0.333333333333333","0.0133333333333333","0.733333333333333","e","11",
"5016084235516","250","4.6","2.2","29.6525","5.9","unknown",,"4"
"6009707013775","411.25","6","9.5",,"10.1999998092651","unknown",,
"7311041024720","448","12.3","38.8","5.1","9","e","30","4"
"4088600100449","62.6666666666667","3","0.4","0.3825","11.3","a","-3","3"
"8410376017113","480.640535372848","31","20","0.45","5.9","e","23","4"
"8722700430889","13","0.7","0.5","2.3","0.6","c","10","4"
"4740072132518","243.333333333333","4.66666666666667","1.66666666666667",,"8.66666666666667","unknown",,
"00032971","38","8.5","0.5","0.01","0.5","a","-3","4"
"3175680012937","494","34","23","0.52","7.6","e","25","4"
"8008343200134","352.941176470588","3.1","1.6","0.01","14.5","a","-2","1"
"3608580890911","89","9.2","2.9","0.075","0.4","c","5","4"
"5997347542759","650","4.5","56","1","28","c","3","3"
"7802920006352","343",,"27.7","1.245","23.3","d","13","3"
"8410179100012","823",,"91",,,"b","1","2"
"7702007065565","649","4.2","53","0.8","28","c","3",
"5410126806069","484","38.1","19","0.92","4.9","e","28","3"
"9310072001005","489.502132589423","37.0192307692308","22.5961538461538","0.72","3.36538461538462","e","30","4"
"0096619336753","464.285714285714","4","22","2.035","15","d","18","4"
"5013683305466","175","0.7","13","1.2","14","c","3","4"
"7501008101049","367","9","0.8","0.7475","6","c","7","3"
"7032069715543","288","2.7","6","0.9825","9.3","b","1","4"
"7793890261844","377.78",,"3.89","0.6632","7.22","c","4","3"
"3278693504076","107","17","1.8","0.22","5.8","c","5","3"
"8850718809950","533.333",,"30",,"6.66667","unknown",,
"5056784903766","2",,,"0.16",,"c","4","4"
"5904730127844","900","0.5","100",,"0.5","e","20","2"
"0769503575353","266","0.8","21.2",,"4.3","unknown",,"3"
"7035620022357","511","56","27","0.1","5.9","e","28","4"
"6111126005894","44","4.2","1.7","0.1275","2.7","b","2",
"3245412563034","326","3.2","7.3","0.9","9.4","c","4","4"
"8710522893821","660","3.33333333333333","73.3333333333333","1.5","0.666666666666667","e","20","4"
"7798151952356","585","7.5","49",,"26","a","-8",
"8809054401519","266","8.3","2.9","1.8675","5","d","15","4"
"4740072130514","251.851851851852","0.8","1.5","1.1","8","a",,"4"
"6972532730332",,,,"5.334E-17",,"unknown",,"4"
"5201415207199","99",,"3.6",,"13","unknown",,
"5060337220415","59.2","2.8","2.92","0.098","3.52","b","2","1"
"6001120606060","445.833333333333","31.25","24.375","0.142708333333333","6.45833333333333","e","20",
"8410014477743","546","56","32","0.1","5","e","26","4"
"9351585000857","440","4","19","0.8125","17.5","c","9","4"
"0067311016335","44","9.6",,"0.01",,"e","11","4"
"6410405060457","23","3.4","0.3",,"0.6","unknown",,
"8850210000039","866.666666666667",,"93.3333333333333",,,"c","5",
"3564700462942","512","80",,,,"e","19","2"
"8801037078176","427.350427350427","51.2820512820513","17.0940170940171","0.106837606837607",,"e","26",
"8852023664224","555","13","33.6","1.1","17.7","d","17","4"
"6156000209913","468.75",,"20.9375","0.546875","18.125","unknown",,"4"
"5902884461890","397","11.3","8.3","0.24","12.3","c","7","4"
"6111024001288","900",,"100",,,"c","5","2"
"6223003942915","393.882352941176",,"0.0282352941176471",,"19.6705882352941","unknown",,
"6001065601236","482.791586998087","58","23.5",,"7.6","unknown",,"4"
"5997347556800","463",,"24","3","8.3","e","29","4"
